Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Binders,1429.5000038146973,281
Office Supplies,Fasteners,47.519998610019684,77
Office Supplies,Supplies,246.11000060290098,97
Furniture,Tables,3195.3499698638916,63
Office Supplies,Envelopes,326.78999657928944,107
Technology,Phones,2759.8499789237976,143
Technology,Machines,614.3699932098389,42
Technology,Accessories,1209.8800115585327,117
Furniture,Bookcases,3027.040051460266,163
Furniture,Furnishings,411.7599915266037,130
Office Supplies,Art,774.7999943494797,204
Office Supplies,Appliances,4157.049977302551,71
Technology,Copiers,1177.8600306510925,99
Furniture,Chairs,2431.2700221538544,159
Office Supplies,Labels,223.7200002670288,115
Office Supplies,Storage,1588.2999872472137,250
Office Supplies,Paper,858.3999948501587,153
