Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Appliances,397.79998874664307,96
Furniture,Chairs,2707.629922103137,206
Office Supplies,Paper,906.0999869816005,185
Furniture,Tables,-3245.680046081543,55
Furniture,Furnishings,1544.0399834923446,190
Office Supplies,Fasteners,89.00999524444342,152
Technology,Accessories,1759.2599713802338,173
Office Supplies,Storage,2443.4899696446955,323
Technology,Phones,3600.4800105597824,186
Office Supplies,Supplies,505.8200023174286,112
Technology,Copiers,6051.560074806213,141
Office Supplies,Envelopes,623.1999997496605,146
Office Supplies,Art,1519.7300141118467,302
Office Supplies,Labels,241.00000013411045,149
Technology,Machines,2285.860018491745,118
Office Supplies,Binders,2637.580011829734,383
Furniture,Bookcases,3245.889977455139,78
