Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Appliances,-649.7499974966049,104
Technology,Copiers,3271.9899954795837,148
Technology,Phones,8578.019990377128,282
Office Supplies,Paper,989.5399913564324,231
Office Supplies,Binders,825.8900055456907,344
Furniture,Bookcases,4229.369952201843,170
Office Supplies,Envelopes,463.13999104499817,183
Office Supplies,Labels,498.23000195622444,187
Office Supplies,Fasteners,182.84999983012676,231
Technology,Machines,2582.8199849128723,104
Furniture,Chairs,2979.9399456977844,230
Office Supplies,Storage,993.2100190743804,277
Office Supplies,Supplies,505.7499950453639,173
Office Supplies,Art,1321.1799849420786,279
Furniture,Furnishings,368.9700061120093,171
Furniture,Tables,463.730016708374,58
Technology,Accessories,2426.109990492463,226
