Category,Sub-Category,Total Profit,Total Quantity Sold
Technology,Copiers,67.16999578475952,46
Office Supplies,Fasteners,249.60000005364418,87
Office Supplies,Appliances,2413.32998418808,78
Technology,Accessories,499.5799958705902,114
Office Supplies,Binders,124.01998597383499,228
Furniture,Chairs,1167.4499638080597,122
Technology,Machines,138.84999198839068,30
Office Supplies,Labels,177.57000159844756,87
Office Supplies,Envelopes,527.7899925708771,103
Office Supplies,Storage,449.4000233411789,179
Office Supplies,Supplies,124.27000045776367,72
Furniture,Tables,-110.09998869895935,26
Office Supplies,Paper,647.2900015115738,135
Furniture,Furnishings,591.7999967932701,120
Technology,Phones,4345.769957199693,171
Office Supplies,Art,869.1299943327904,253
Furniture,Bookcases,88.99000310897827,40
