Category,Sub-Category,Total Profit,Total Quantity Sold
Technology,Phones,2468.0699882507324,112
Technology,Copiers,195.8000431060791,64
Technology,Accessories,565.5699928998947,73
Furniture,Chairs,3788.119993686676,110
Office Supplies,Binders,797.7399944067001,212
Office Supplies,Supplies,244.8300004005432,55
Furniture,Tables,-1150.8900241851807,24
Office Supplies,Storage,947.0300063490868,151
Furniture,Furnishings,103.10998845100403,90
Office Supplies,Art,299.5700136423111,161
Office Supplies,Envelopes,293.27999663352966,52
Office Supplies,Paper,601.21999335289,127
Office Supplies,Fasteners,145.1200009584427,113
Office Supplies,Labels,190.2099996805191,116
Technology,Machines,-835.2799482345581,42
Office Supplies,Appliances,2325.9499950408936,60
Furniture,Bookcases,1119.1500024795532,70
