Category,Sub-Category,Total Profit,Total Quantity Sold
Furniture,Furnishings,791.0099923610687,102
Office Supplies,Labels,122.42000053077936,78
Office Supplies,Fasteners,248.54000186920166,72
Office Supplies,Binders,1555.8999913930893,145
Technology,Copiers,973.6000213623047,29
Office Supplies,Paper,262.4600023031235,89
Furniture,Bookcases,1598.3700218200684,45
Furniture,Tables,362.17999398708344,20
Office Supplies,Appliances,-89.96999597549438,36
Technology,Accessories,2246.6699826717377,144
Technology,Phones,3352.0300290584564,89
Furniture,Chairs,1533.4399547576904,109
Office Supplies,Supplies,119.84000015258789,59
Office Supplies,Storage,1006.6999987959862,123
Office Supplies,Envelopes,345.0600049495697,75
Technology,Machines,304.000018119812,31
Office Supplies,Art,452.829990029335,125
