Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Envelopes,184.2000025138259,117
Technology,Phones,3520.2400065660477,259
Office Supplies,Art,1213.9599946141243,360
Furniture,Furnishings,1533.7799984328449,251
Office Supplies,Storage,2458.3499619215727,319
Office Supplies,Paper,1112.6499940156937,220
Furniture,Chairs,1323.1599850654602,186
Office Supplies,Fasteners,84.27000293880701,164
Office Supplies,Supplies,472.36999756097794,189
Furniture,Tables,-2055.320011138916,62
Technology,Machines,2597.8800053596497,110
Furniture,Bookcases,2020.5799822621047,195
Technology,Copiers,3796.769978284836,132
Office Supplies,Binders,611.4300084784627,370
Office Supplies,Appliances,4533.580039665103,155
Technology,Accessories,3232.609991669655,226
Office Supplies,Labels,683.3100091516972,190
