Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Paper,289.1700024511665,73
Technology,Machines,969.8300018310547,44
Furniture,Tables,450.71997356414795,42
Furniture,Chairs,1087.4899878501892,157
Office Supplies,Labels,174.38000237941742,98
Technology,Accessories,1556.9099997282028,125
Technology,Phones,685.610035598278,166
Office Supplies,Envelopes,348.53999894857407,103
Office Supplies,Binders,1662.0899651050568,219
Furniture,Bookcases,857.0799717903137,99
Office Supplies,Fasteners,142.9700021892786,131
Office Supplies,Appliances,1080.9799692630768,78
Furniture,Furnishings,778.3500054776669,114
Office Supplies,Supplies,330.30000108480453,88
Office Supplies,Storage,1104.3000079728663,218
Office Supplies,Art,509.34999161958694,183
Technology,Copiers,4668.229978322983,157
