Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Fasteners,175.0799999833107,142
Office Supplies,Supplies,1048.7299945354462,190
Furniture,Furnishings,655.8399875983596,216
Technology,Accessories,1290.1899945735931,201
Office Supplies,Appliances,4803.730035483837,85
Furniture,Tables,-805.0599975585938,28
Technology,Copiers,4521.509992599487,142
Office Supplies,Art,1129.3899932354689,280
Technology,Phones,2325.7800080403686,240
Technology,Machines,-23.68000316619873,61
Furniture,Bookcases,2970.720036735758,139
Office Supplies,Labels,179.84999850019813,143
Office Supplies,Paper,1273.850007534027,257
Furniture,Chairs,4015.2000519037247,254
Office Supplies,Binders,-2.2300003319978714,338
Office Supplies,Envelopes,724.729999916628,114
Office Supplies,Storage,2990.22000259161,329
