Category,Sub-Category,Total Profit,Total Quantity Sold
Technology,Machines,1605.9899740219116,157
Furniture,Tables,-2736.270094394684,139
Office Supplies,Supplies,245.4100056886673,214
Office Supplies,Art,1720.9699868261814,425
Office Supplies,Envelopes,1081.3899918794632,252
Office Supplies,Appliances,5179.329988552257,150
Office Supplies,Fasteners,542.7100014090538,302
Furniture,Bookcases,3999.5600269064307,264
Furniture,Furnishings,2565.9199965000153,397
Technology,Accessories,2599.1300193071365,372
Office Supplies,Paper,1171.0400106012821,392
Technology,Copiers,6130.580023646355,213
Office Supplies,Storage,6221.649966303259,570
Office Supplies,Binders,7991.66008540988,663
Office Supplies,Labels,233.43999844789505,213
Technology,Phones,5031.280136108398,342
Furniture,Chairs,4520.349924087524,353
