Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Art,640.9699909687042,166
Office Supplies,Fasteners,99.25000005960464,105
Office Supplies,Envelopes,206.4599950313568,165
Office Supplies,Binders,532.0600032620132,243
Furniture,Chairs,1268.4999792575836,206
Office Supplies,Labels,224.83000561594963,60
Technology,Phones,172.82004576921463,160
Furniture,Furnishings,416.78000700473785,120
Technology,Copiers,443.9799814224243,74
Furniture,Bookcases,1512.8399815559387,93
Office Supplies,Supplies,115.73000258207321,89
Office Supplies,Storage,1144.829996585846,257
Office Supplies,Appliances,2340.0500227212906,54
Furniture,Tables,-445.7599983215332,20
Technology,Machines,2141.7099788188934,46
Technology,Accessories,2599.5499601364136,136
Office Supplies,Paper,705.7500023841858,171
