Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Art,1054.3400034159422,327
Office Supplies,Appliances,4777.2899968624115,134
Technology,Accessories,3337.459966868162,271
Office Supplies,Fasteners,258.270000256598,186
Office Supplies,Supplies,779.1000120937824,277
Office Supplies,Storage,3861.8200076818466,405
Office Supplies,Labels,314.0099989771843,220
Technology,Phones,2079.6899601630867,252
Office Supplies,Paper,1106.5199944376945,329
Technology,Copiers,6994.639892578125,141
Furniture,Furnishings,828.7199918329716,236
Furniture,Tables,-1327.3501453399658,71
Office Supplies,Envelopes,911.3099962323904,229
Furniture,Chairs,3921.1900208592415,330
Furniture,Bookcases,1559.190010547638,198
Office Supplies,Binders,1644.3599849194288,475
Technology,Machines,725.0699858665466,80
