Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Binders,1134.6100048422813,382
Technology,Phones,4519.33008999005,141
Furniture,Tables,1444.0799770355225,69
Office Supplies,Labels,322.37000274658203,204
Office Supplies,Appliances,2884.579952608794,166
Furniture,Furnishings,1969.7800102233887,227
Office Supplies,Fasteners,428.9199983328581,201
Office Supplies,Art,1154.8699893653393,328
Office Supplies,Envelopes,593.7800085544586,150
Office Supplies,Supplies,864.9100151062012,149
Furniture,Bookcases,4556.600051403046,191
Furniture,Chairs,2029.039956331253,233
Technology,Machines,-1947.0899970531464,89
Technology,Accessories,1236.8499986827374,181
Office Supplies,Storage,1878.7000233829021,380
Office Supplies,Paper,544.1799989044666,228
Technology,Copiers,3790.920035839081,112
