Category,Sub-Category,Total Profit,Total Quantity Sold
Technology,Accessories,2163.9900114536285,183
Furniture,Bookcases,674.8099865913391,107
Office Supplies,Supplies,551.170000910759,149
Office Supplies,Appliances,2942.56995344162,120
Office Supplies,Fasteners,165.95000329613686,197
Office Supplies,Art,1321.949987322092,314
Office Supplies,Paper,2077.7499929480255,345
Furniture,Furnishings,1070.719995379448,269
Technology,Machines,1910.999986410141,99
Office Supplies,Envelopes,802.3100038766861,154
Technology,Phones,6639.219909310341,211
Furniture,Chairs,803.9199486970901,289
Office Supplies,Binders,1161.3099936693907,496
Office Supplies,Labels,267.6700018644333,150
Office Supplies,Storage,2183.3099802732468,322
Furniture,Tables,-1651.6600472927094,56
Technology,Copiers,4708.7601241879165,186
