Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Supplies,396.4300061315298,200
Office Supplies,Envelopes,708.5400126576424,221
Furniture,Bookcases,5564.130069732666,181
Office Supplies,Art,1744.6600112318993,450
Office Supplies,Appliances,2445.7598680257797,207
Office Supplies,Labels,486.5600034445524,376
Office Supplies,Binders,1468.979997754097,629
Office Supplies,Storage,1023.0999782923609,390
Technology,Copiers,6153.6800474748015,243
Office Supplies,Fasteners,181.58999733626842,216
Office Supplies,Paper,1572.659997165203,415
Furniture,Chairs,4580.17999881506,309
Technology,Machines,1925.5500141289085,172
Furniture,Furnishings,1047.6899649500847,338
Technology,Accessories,4375.3499836325645,293
Furniture,Tables,-2100.4800159931183,97
Technology,Phones,12142.509934186935,359
