Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Paper,1743.9199900627136,353
Office Supplies,Supplies,1325.4199746847153,325
Technology,Accessories,4739.859980493784,366
Technology,Phones,6875.950057100505,390
Furniture,Chairs,1377.7100361399353,284
Furniture,Furnishings,785.8100040256977,268
Office Supplies,Binders,4788.950026512146,760
Office Supplies,Storage,3919.930014844984,556
Technology,Machines,491.0200357437134,174
Office Supplies,Envelopes,469.7500026933849,200
Furniture,Bookcases,7696.680001974106,293
Office Supplies,Fasteners,546.4100081175566,245
Office Supplies,Labels,720.0599996745586,368
Furniture,Tables,-1665.4699597358704,72
Office Supplies,Appliances,9118.57005250454,231
Office Supplies,Art,2358.8300058841705,485
Technology,Copiers,7322.210014104843,214
