Category,Sub-Category,Total Profit,Total Quantity Sold
Technology,Phones,2084.0300557017326,171
Furniture,Chairs,1517.3199500851333,125
Office Supplies,Binders,1607.2400015909225,231
Technology,Machines,655.5999774932861,58
Furniture,Bookcases,1359.4099826812744,89
Office Supplies,Paper,625.4100005924702,142
Furniture,Furnishings,403.60999715328217,117
Technology,Copiers,2385.360004901886,74
Office Supplies,Art,797.6900011897087,224
Office Supplies,Storage,992.2699865102768,189
Office Supplies,Labels,146.38000283390284,75
Furniture,Tables,-2040.939956665039,55
Office Supplies,Fasteners,70.02000068873167,102
Technology,Accessories,1846.9800159931183,151
Office Supplies,Envelopes,176.66000099107623,76
Office Supplies,Supplies,162.71999815106392,89
Office Supplies,Appliances,1221.319984793663,81
