Category,Sub-Category,Total Profit,Total Quantity Sold
Technology,Copiers,4663.419992923737,164
Office Supplies,Storage,1441.340015590191,430
Office Supplies,Paper,1624.7700031306595,345
Office Supplies,Supplies,410.54001146554947,227
Technology,Phones,2051.940043274313,242
Office Supplies,Envelopes,717.4999988079071,214
Office Supplies,Fasteners,345.6699975579977,282
Furniture,Chairs,3460.3900051116943,408
Furniture,Tables,-2934.1399459838867,83
Office Supplies,Binders,-172.46002875082195,662
Technology,Accessories,3597.479966968298,298
Office Supplies,Appliances,4918.850034236908,179
Office Supplies,Labels,177.43999868631363,245
Office Supplies,Art,1762.4199950397015,489
Furniture,Furnishings,1266.6799819469452,378
Furniture,Bookcases,4183.520040035248,215
Technology,Machines,4925.690039157867,136
