Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Art,739.4500010460615,330
Furniture,Bookcases,3405.0000219345093,165
Office Supplies,Envelopes,850.3800029754639,207
Furniture,Chairs,2299.2899983525276,235
Technology,Accessories,3724.650008201599,228
Furniture,Tables,97.68997116014361,66
Office Supplies,Storage,2115.1400080621243,325
Office Supplies,Binders,3015.720016427338,441
Office Supplies,Paper,332.2400050871074,236
Furniture,Furnishings,1145.2399966716766,230
Office Supplies,Supplies,796.1900094747543,186
Office Supplies,Appliances,691.3099632263184,69
Technology,Copiers,7996.900025101379,138
Office Supplies,Fasteners,375.50000090524554,205
Office Supplies,Labels,242.59000058472157,163
Technology,Phones,5199.949935913086,230
Technology,Machines,193.90998601913452,100
