Category,Sub-Category,Total Profit,Total Quantity Sold
Technology,Copiers,7375.419961662963,293
Office Supplies,Paper,2877.7899868618697,507
Office Supplies,Storage,2104.6600055731833,608
Furniture,Bookcases,8443.249996066093,286
Office Supplies,Envelopes,677.1999993734062,329
Furniture,Chairs,3184.050037741661,523
Office Supplies,Labels,278.6900004148483,331
Office Supplies,Appliances,3238.760013103485,300
Technology,Phones,11221.38003563881,429
Office Supplies,Supplies,1260.629998922348,392
Technology,Accessories,3300.390017013997,431
Office Supplies,Art,1616.3900125026703,657
Office Supplies,Fasteners,595.5700038671494,328
Furniture,Furnishings,1320.1200026124716,493
Technology,Machines,2371.3999652303755,194
Office Supplies,Binders,-1418.0499360747635,874
Furniture,Tables,-3776.460136413574,129
