Category,Sub-Category,Total Profit,Total Quantity Sold
Furniture,Tables,-771.699925661087,133
Office Supplies,Appliances,8516.550040546805,265
Office Supplies,Envelopes,963.9600031375885,306
Office Supplies,Binders,1128.3699636757374,853
Office Supplies,Storage,4329.589960113168,772
Office Supplies,Art,2716.930010050535,696
Office Supplies,Paper,2213.5600029975176,495
Technology,Accessories,6362.720006406307,479
Technology,Machines,-1176.6000423431396,200
Technology,Copiers,16078.330291004851,278
Furniture,Furnishings,1010.2399935722351,483
Office Supplies,Labels,346.64000130817294,369
Office Supplies,Fasteners,647.0700002387166,430
Office Supplies,Supplies,827.4699962437153,290
Furniture,Chairs,7959.689972758293,481
Technology,Phones,9094.18002282083,525
Furniture,Bookcases,2008.4799810647964,295
