Category,Sub-Category,Total Profit,Total Quantity Sold
Technology,Phones,3646.840010166168,194
Office Supplies,Envelopes,-26.399994730949402,115
Office Supplies,Labels,259.8300002813339,142
Furniture,Chairs,4636.939976226538,249
Office Supplies,Art,1066.3899917304516,227
Office Supplies,Appliances,1500.560047030449,86
Technology,Copiers,5345.849987983704,132
Office Supplies,Paper,705.1599974036217,182
Office Supplies,Storage,1176.3699839189649,359
Furniture,Tables,177.98001265525818,48
Technology,Machines,893.4500148296356,86
Office Supplies,Binders,348.18001218140125,287
Office Supplies,Fasteners,175.40999895334244,136
Office Supplies,Supplies,161.85999047383666,132
Furniture,Furnishings,848.4299955964088,182
Technology,Accessories,1666.6799727976322,127
Furniture,Bookcases,4363.629917085171,131
