Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Binders,2663.920013189316,469
Technology,Copiers,4247.62993657589,136
Office Supplies,Paper,1125.8100011348724,213
Office Supplies,Art,1120.0300023853779,294
Office Supplies,Storage,1464.1499627251178,324
Furniture,Furnishings,1304.260024201125,220
Technology,Accessories,2243.2699998021126,184
Office Supplies,Labels,363.5799984931946,214
Furniture,Chairs,73.12999839149415,206
Technology,Machines,-2061.18995812349,91
Office Supplies,Envelopes,205.20999351330101,153
Technology,Phones,5684.750008746982,227
Furniture,Tables,-1262.1800117492676,54
Office Supplies,Supplies,660.8199988119304,142
Office Supplies,Fasteners,348.6900000870228,203
Furniture,Bookcases,3384.1000533103943,220
Office Supplies,Appliances,2023.5099882483482,116
