Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Appliances,1591.819974899292,135
Office Supplies,Fasteners,591.340005159378,297
Technology,Copiers,6755.320018004626,190
Technology,Phones,2908.0900324583054,295
Office Supplies,Supplies,691.920004338026,221
Furniture,Chairs,461.8399324417114,308
Technology,Machines,3033.600009202957,123
Office Supplies,Binders,1499.639996331185,589
Office Supplies,Paper,1335.2199947535992,344
Office Supplies,Art,1869.9199999719858,454
Office Supplies,Envelopes,1067.3699943032116,276
Office Supplies,Storage,831.1100373007357,372
Furniture,Tables,-2264.0100440979004,92
Office Supplies,Labels,365.7300000041723,267
Furniture,Furnishings,1323.1400072574615,237
Furniture,Bookcases,3776.3500422239304,191
Technology,Accessories,2298.8400408625603,250
