Category,Sub-Category,Total Profit,Total Quantity Sold
Technology,Machines,317.07999086380005,49
Furniture,Chairs,-1710.3599710464478,108
Office Supplies,Supplies,393.73000371456146,77
Office Supplies,Art,443.5899983346462,158
Technology,Phones,2174.3400201797485,116
Technology,Accessories,856.7300225496292,125
Furniture,Furnishings,76.90000784397125,115
Office Supplies,Fasteners,169.4299971461296,90
Office Supplies,Binders,-3182.8998988568783,256
Furniture,Bookcases,312.47001361846924,65
Office Supplies,Storage,766.6500023007393,176
Office Supplies,Appliances,840.3300099372864,29
Office Supplies,Labels,222.25999425910413,103
Office Supplies,Paper,424.98000166006386,116
Technology,Copiers,364.2399764060974,68
Office Supplies,Envelopes,435.00000381469727,89
Furniture,Tables,529.889988899231,23
