Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Appliances,306.9199471473694,101
Technology,Accessories,3342.5400059223175,241
Furniture,Bookcases,2432.469986438751,196
Office Supplies,Art,1484.2699909955263,383
Technology,Machines,186.1900082975626,132
Office Supplies,Supplies,427.12000496312976,198
Technology,Copiers,2318.580025911331,170
Office Supplies,Fasteners,391.65999892540276,147
Furniture,Furnishings,1322.9600184075534,252
Office Supplies,Labels,193.16999697312713,188
Furniture,Chairs,3495.109969854355,268
Furniture,Tables,1294.959955215454,53
Office Supplies,Storage,2019.0000366866589,307
Technology,Phones,4992.129973970354,315
Office Supplies,Binders,-4.850001946091652,571
Office Supplies,Paper,974.8299917578697,279
Office Supplies,Envelopes,1101.3199861645699,230
