Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Art,1298.4799935817719,263
Technology,Accessories,5598.200010180473,257
Office Supplies,Binders,2753.3100435845554,417
Furniture,Tables,-1050.550012588501,37
Furniture,Bookcases,2980.8700210954994,197
Furniture,Chairs,3354.9400084018707,309
Office Supplies,Paper,1308.6700052917004,270
Furniture,Furnishings,955.8899905085564,296
Office Supplies,Labels,291.25999660789967,200
Office Supplies,Envelopes,453.28999876230955,166
Office Supplies,Supplies,581.8800048828125,194
Technology,Machines,-62.970038652420044,132
Office Supplies,Storage,1788.0899793207645,296
Office Supplies,Appliances,3180.699988603592,101
Technology,Copiers,13179.860413312912,162
Technology,Phones,4914.530005335808,237
Office Supplies,Fasteners,360.0300008058548,216
