Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Fasteners,199.74000057578087,73
Furniture,Chairs,690.8500094413757,99
Technology,Copiers,2396.43000023067,69
Technology,Machines,128.03997460007668,69
Office Supplies,Supplies,11.739996634423733,105
Technology,Accessories,1143.2800037376583,92
Office Supplies,Appliances,1996.6599734127522,76
Office Supplies,Labels,81.6799988746643,63
Technology,Phones,1458.760002374649,116
Furniture,Bookcases,378.9899764060974,92
Furniture,Furnishings,236.17000459693372,159
Office Supplies,Storage,2714.1600198745728,204
Office Supplies,Binders,537.0900007486343,195
Furniture,Tables,-3301.5100421905518,34
Office Supplies,Art,99.21000093221664,159
Office Supplies,Paper,413.1300060451031,141
Office Supplies,Envelopes,326.23999801278114,63
