Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Envelopes,697.0599900484085,154
Furniture,Tables,-2181.559995532036,43
Office Supplies,Art,318.3300127387047,205
Furniture,Furnishings,533.8799880743027,155
Technology,Accessories,2791.289982199669,166
Office Supplies,Storage,2554.4499654099345,230
Office Supplies,Paper,1018.1000035405159,171
Office Supplies,Labels,85.71000056527555,126
Technology,Copiers,2183.5099449157715,108
Technology,Phones,2562.1199935749173,164
Technology,Machines,3495.7499318122864,68
Furniture,Bookcases,1655.4900135993958,128
Office Supplies,Appliances,2960.030012011528,120
Furniture,Chairs,2223.3401135616004,239
Office Supplies,Fasteners,66.31000219844282,87
Office Supplies,Supplies,-195.1400102376938,134
Office Supplies,Binders,1134.9900044500828,283
