Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Paper,2309.4499763846397,345
Furniture,Tables,-2794.990005493164,67
Office Supplies,Storage,1858.3099823743105,315
Office Supplies,Art,576.5099896490574,223
Furniture,Furnishings,1296.1199878454208,224
Technology,Copiers,4646.66993522644,132
Office Supplies,Appliances,2059.309944629669,158
Technology,Machines,3564.2699937820435,131
Office Supplies,Fasteners,73.49000111222267,142
Technology,Phones,7405.049982905388,288
Office Supplies,Envelopes,628.8200089335442,213
Office Supplies,Binders,1449.3400042057037,462
Furniture,Chairs,3096.0899970531464,301
Technology,Accessories,2513.6399899721146,193
Furniture,Bookcases,3218.9899949654937,181
Office Supplies,Labels,391.32999336719513,227
Office Supplies,Supplies,6.430017352104187,179
