Category,Sub-Category,Total Profit,Total Quantity Sold
Furniture,Chairs,-308.7299907207489,128
Technology,Accessories,2097.7899634838104,126
Office Supplies,Paper,706.4000055193901,205
Furniture,Tables,1751.2500171661377,55
Technology,Copiers,2876.499955177307,102
Office Supplies,Appliances,612.1599995493889,66
Office Supplies,Labels,411.9199994057417,86
Furniture,Furnishings,133.23001325130463,131
Office Supplies,Binders,4496.649963319302,233
Office Supplies,Supplies,229.95000064373016,52
Technology,Phones,2127.289985060692,169
Office Supplies,Art,613.0799984335899,190
Office Supplies,Storage,1733.5899919867516,246
Office Supplies,Fasteners,335.93999971449375,124
Furniture,Bookcases,48.80996346473694,129
Technology,Machines,-43.309999227523804,62
Office Supplies,Envelopes,2.970003843307495,103
