Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Supplies,626.3799992054701,192
Office Supplies,Envelopes,452.50999611616135,140
Technology,Machines,2459.439968060702,135
Office Supplies,Art,1694.8300192281604,345
Office Supplies,Storage,2835.999997794628,368
Office Supplies,Paper,1247.5899848341942,281
Furniture,Furnishings,919.3900055009872,277
Office Supplies,Fasteners,208.6800016462803,157
Furniture,Chairs,5304.630058746785,348
Technology,Phones,5615.580011993647,306
Furniture,Bookcases,4224.799952616915,184
Technology,Accessories,1414.539979159832,260
Office Supplies,Binders,420.2100422438234,491
Office Supplies,Appliances,241.95002872869372,118
Office Supplies,Labels,462.43999951705337,220
Technology,Copiers,5547.859910607338,146
Furniture,Tables,390.7500190734863,95
