Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Supplies,100.32999396324158,146
Office Supplies,Labels,170.7300011664629,83
Technology,Phones,4194.509988069534,185
Office Supplies,Art,779.6600024700165,245
Furniture,Tables,-1051.1599960327148,25
Furniture,Bookcases,798.2799744606018,131
Office Supplies,Appliances,4500.230046987534,93
Office Supplies,Paper,577.3699913024902,94
Technology,Machines,569.7599959373474,65
Furniture,Furnishings,531.3899884223938,132
Office Supplies,Fasteners,130.56999838352203,137
Office Supplies,Binders,-380.42999355494976,247
Office Supplies,Storage,716.9399670362473,246
Furniture,Chairs,3447.829972267151,176
Technology,Accessories,644.2199876308441,191
Office Supplies,Envelopes,291.0500022172928,78
Technology,Copiers,3078.2600650787354,125
