Category,Sub-Category,Total Profit,Total Quantity Sold
Furniture,Furnishings,830.370009303093,216
Technology,Accessories,1880.8800184242427,189
Office Supplies,Labels,240.9899998307228,169
Technology,Copiers,10614.719965934753,194
Office Supplies,Supplies,156.67999958992004,190
Technology,Machines,1442.4800276756287,79
Office Supplies,Storage,2387.180048648268,331
Furniture,Tables,895.2700490951538,68
Office Supplies,Fasteners,307.3100003320724,180
Office Supplies,Art,798.470006974414,331
Office Supplies,Envelopes,786.2599880099297,217
Office Supplies,Binders,1518.4699978008866,438
Office Supplies,Paper,1468.439984023571,208
Technology,Phones,2624.169965248555,206
Furniture,Chairs,3241.689996600151,255
Office Supplies,Appliances,2621.5199387073517,134
Furniture,Bookcases,3860.519990645349,168
