Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Storage,1378.6900155730546,222
Office Supplies,Art,900.209992647171,177
Office Supplies,Labels,86.16000011563301,82
Office Supplies,Binders,1114.0500038713217,255
Office Supplies,Envelopes,386.74000515043736,95
Office Supplies,Fasteners,116.93000012636185,85
Technology,Copiers,4904.720023155212,103
Furniture,Bookcases,3542.0699676275253,74
Technology,Machines,2270.0200176239014,36
Office Supplies,Supplies,626.4900014400482,107
Technology,Phones,665.6900030970573,112
Furniture,Furnishings,841.6399958133698,167
Furniture,Tables,105.03996896743774,59
Office Supplies,Appliances,2869.9500770568848,70
Technology,Accessories,1317.4799978733063,106
Furniture,Chairs,1859.8900005817413,149
Office Supplies,Paper,1028.559992134571,129
