Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Fasteners,608.0699965208769,365
Furniture,Bookcases,9050.63999775052,267
Furniture,Chairs,2887.3699938058853,348
Furniture,Furnishings,1307.5099898576736,326
Office Supplies,Labels,502.64000058174133,367
Technology,Machines,3958.9999616108835,165
Office Supplies,Paper,1858.5099976379424,399
Office Supplies,Binders,1902.340013679117,653
Office Supplies,Supplies,609.8499944806099,284
Office Supplies,Art,1900.8299886882305,551
Office Supplies,Storage,4214.379996683449,552
Technology,Phones,7327.850007414818,386
Office Supplies,Appliances,2734.2500777840614,174
Technology,Copiers,5257.379983514547,233
Technology,Accessories,3118.8199733495712,325
Furniture,Tables,-5882.430004119873,84
Office Supplies,Envelopes,694.7600060366094,269
