Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Paper,1639.8299993872643,425
Office Supplies,Binders,1958.6500686705112,666
Office Supplies,Labels,535.9499958530068,300
Office Supplies,Envelopes,1348.1200065016747,316
Office Supplies,Fasteners,260.3600018173456,258
Office Supplies,Storage,3511.1499914228916,509
Furniture,Furnishings,1435.340020596981,367
Technology,Phones,-3593.3298484683037,409
Technology,Copiers,8055.749940156937,195
Technology,Accessories,6108.770030081272,326
Office Supplies,Appliances,2600.1800317168236,194
Office Supplies,Supplies,401.0099990591407,247
Office Supplies,Art,1709.919991498813,532
Furniture,Bookcases,3356.160086721182,325
Furniture,Tables,-618.7199945449829,61
Technology,Machines,1752.330006480217,74
Furniture,Chairs,7030.130047583953,382
