Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Art,638.2200017571449,234
Furniture,Furnishings,348.3799937963486,149
Technology,Copiers,3406.0600185394287,102
Office Supplies,Binders,-1631.7599583566189,341
Office Supplies,Supplies,27.31999921798706,144
Furniture,Tables,-2372.4800090789795,29
Office Supplies,Fasteners,177.43999832868576,123
Technology,Accessories,937.9400005973876,179
Office Supplies,Envelopes,371.67000064253807,101
Technology,Phones,1504.109964542091,161
Office Supplies,Storage,1734.0000138878822,264
Office Supplies,Paper,839.2299954891205,184
Furniture,Bookcases,1364.9100050926208,95
Office Supplies,Appliances,4909.650002241135,90
Technology,Machines,4272.539957523346,51
Furniture,Chairs,1484.7799509763718,223
Office Supplies,Labels,104.13000047206879,77
