Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Supplies,529.7000140547752,253
Office Supplies,Binders,2568.419930458069,693
Technology,Accessories,1768.1199993491173,257
Furniture,Tables,-5314.740092277527,128
Office Supplies,Fasteners,367.1300027370453,295
Office Supplies,Paper,1798.4899986889213,409
Furniture,Chairs,5727.099981885403,408
Technology,Copiers,15076.439994048327,303
Office Supplies,Labels,369.91000416502357,328
Technology,Machines,4493.020043849945,199
Office Supplies,Envelopes,1195.2399849891663,242
Office Supplies,Art,1395.1999796926975,402
Technology,Phones,6959.370096892118,368
Office Supplies,Storage,4209.3699369728565,488
Furniture,Furnishings,1561.669999241829,269
Furniture,Bookcases,6118.879979820922,297
Office Supplies,Appliances,6008.750008165836,175
