Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Paper,1836.2699992656708,275
Furniture,Furnishings,338.54000437259674,135
Technology,Phones,6841.439959011972,220
Office Supplies,Art,854.2399826049805,282
Office Supplies,Supplies,414.49000775814056,122
Technology,Copiers,3081.5000097751617,113
Office Supplies,Binders,1639.9999730587006,311
Office Supplies,Labels,235.72999823093414,150
Office Supplies,Appliances,2765.6500025093555,68
Furniture,Bookcases,600.8399667739868,138
Technology,Machines,1588.580045223236,78
Technology,Accessories,1148.6499992609024,208
Furniture,Chairs,4410.849955558777,209
Office Supplies,Envelopes,893.8899987637997,152
Office Supplies,Storage,1477.339995622635,258
Furniture,Tables,-3050.2400608062744,47
Office Supplies,Fasteners,293.47999942302704,119
