Category,Sub-Category,Total Profit,Total Quantity Sold
Furniture,Bookcases,978.3000018596649,73
Technology,Copiers,-255.82998657226562,49
Technology,Machines,766.2900047302246,48
Office Supplies,Appliances,1480.8899822235107,34
Office Supplies,Fasteners,18.669999480247498,74
Furniture,Chairs,57.430015563964844,73
Furniture,Furnishings,172.41000151634216,73
Office Supplies,Storage,1232.0000044107437,166
Office Supplies,Paper,339.15999734401703,112
Office Supplies,Labels,114.69000002741814,75
Furniture,Tables,-525.2299559786916,22
Technology,Phones,1781.2099952697754,73
Office Supplies,Supplies,280.79000306129456,66
Office Supplies,Art,501.4099992569536,197
Office Supplies,Envelopes,99.70999443531036,73
Technology,Accessories,752.4400205612183,46
Office Supplies,Binders,429.0299952607602,170
