Category,Sub-Category,Total Profit,Total Quantity Sold
Furniture,Tables,-2824.039918899536,85
Office Supplies,Storage,2403.94996291399,386
Office Supplies,Binders,839.5699958354235,538
Office Supplies,Paper,1685.2499935626984,337
Office Supplies,Labels,281.0599964745343,215
Technology,Machines,-1889.3299896717072,141
Office Supplies,Fasteners,286.3800012022257,210
Furniture,Furnishings,1025.8499933481216,216
Office Supplies,Envelopes,802.500004529953,205
Office Supplies,Appliances,3251.759937416762,164
Office Supplies,Supplies,1102.030009843409,211
Office Supplies,Art,1240.5599988922477,495
Technology,Copiers,5874.2500014305115,200
Furniture,Bookcases,3226.7500583939254,212
Technology,Accessories,4841.219913780689,320
Furniture,Chairs,3453.2700774669647,243
Technology,Phones,3928.480044364929,238
