Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Paper,2864.399994663894,477
Office Supplies,Envelopes,737.0299854241312,270
Office Supplies,Appliances,4561.970100939274,156
Office Supplies,Binders,3700.7798864096403,858
Furniture,Furnishings,2105.100027900189,425
Office Supplies,Supplies,-90.11998054385185,318
Office Supplies,Fasteners,317.17000222951174,329
Office Supplies,Art,3134.820000551641,651
Furniture,Bookcases,12308.219967335463,322
Furniture,Tables,-2470.229980945587,95
Technology,Phones,4169.960015773773,328
Office Supplies,Storage,5067.570031085983,617
Technology,Accessories,6835.890086054802,448
Furniture,Chairs,5515.879917442799,476
Technology,Copiers,12847.54987859726,332
Office Supplies,Labels,575.5999988988042,339
Technology,Machines,2618.739978790283,168
