Category,Sub-Category,Total Profit,Total Quantity Sold
Office Supplies,Labels,361.1100002527237,191
Furniture,Tables,-799.8899822235107,54
Office Supplies,Fasteners,434.0999978631735,205
Furniture,Bookcases,1898.869996547699,196
Furniture,Chairs,4167.6900251321495,162
Furniture,Furnishings,958.2300056517124,214
Technology,Accessories,2783.939978003502,265
Office Supplies,Appliances,7165.380051374435,169
Office Supplies,Binders,2258.2000002861023,417
Technology,Phones,7815.12012052536,248
Office Supplies,Storage,1984.449957817793,427
Technology,Machines,3807.87007021904,98
Office Supplies,Art,1444.3299961090088,383
Office Supplies,Paper,1033.9399995207787,258
Office Supplies,Envelopes,341.6500036418438,124
Technology,Copiers,7622.969988813624,182
Office Supplies,Supplies,293.71999979019165,160
